SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,WEBSITE,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,Facility,Hosp,811_LINK
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647106,17647105,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",835 9th Avenue S,Golden,V0A 1H0,51.296527,-116.966604,Golden and District Hospital,409,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647105
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653148,17652557,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",3209 Oceanview Drive,Queen Charlotte,V0T 1S0,53.254868,-132.070526,Haida Gwaii Hospital and Health Centre,907,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652557
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653158,17652178,https://www.northernhealth.ca/locations/hospitals,Y,,Service only available when doctor is on-site; call ahead before going to the hospital.,10309 Kyllo Street,Hudson's Hope,V0C 1V0,56.026604,-121.914866,Hudson's Hope Health Centre,759,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652178
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647104,17647103,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",850 10th Avenue,Invermere,V0A 1K0,50.506441,-116.032224,Invermere and District Hospital  ,755,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647103
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647125,17646738,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",2268 Pandosy Street,Kelowna,V1Y 1T2,49.873281,-119.491273,Kelowna General Hospital,302,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646738
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653144,17652147,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",920 S Lahakas Blvd,Kitimat,V8C 2S3,54.050409,-128.647481,Kitimat General Hospital and Health Centre,917,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652147
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647126,17646551,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",1200 Hospital Bench,Trail,V1R 4M1,49.10318,-117.70147,Kootenay Boundary Regional Hospital,801,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646551
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647113,17646896,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",3 View Street,Nelson,V1L 2V1,49.495025,-117.284817,Kootenay Lake Hospital,651,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646896
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651541,17650864,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",135 Crofton Road,Salt Spring Island,V8K 1T1,48.861445,-123.508599,Lady Minto/Gulf Islands Hospital,206,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650864
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653143,17652667,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",741 Centre Street,Burns Lake,V0J 1E0,54.235568,-125.760016,Lakes District Hospital and Health Centre,707,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652667
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645050,17644429,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",22051 Fraser Highway,Langley,V3A 4H4,49.093175,-122.613957,Langley Memorial Hospital,115,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644429
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647112,17646943,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",951 Murray Street,Lillooet,V0K 1V0,50.689254,-121.939063,Lillooet Hospital and Health Centre,417,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646943
LD-1700,Emergency Room Care,17648936,Vancouver Coastal Health,17649851,Emergency Health Services,"Provides 24-hour emergency health care and trauma services in most hospital sites; operating hours may vary in rural areas. Services are prioritized based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need. Visit the ED Wait Times website to see current wait times of Vancouver, North Shore and Richmond emergency rooms.",55362740,17648961,http://www.vch.ca/your-care/emergency-care,Y,,"Open 24 hours, 7 days a week",231 East 15th Street,North Vancouver,V7L 2L7,49.320214,-123.068318,Lions Gate Hospital,112,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649851&SiteResourceAgencyNum=17648961
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653151,17652365,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",45 Centennial Drive,Mackenzie,V0J 2C0,55.33812,-123.101288,Mackenzie and District Hospital and Health Centre,715,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652365
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653152,17652295,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",1136 5th Avenue,McBride,V0J 2E0,53.300909,-120.16308,McBride and District Hospital,713,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652295
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653145,17652898,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",4720 Haugland Avenue,Terrace,V8G 2W7,54.510843,-128.596516,Mills Memorial Hospital,912,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652898
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645055,17644460,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",7324 Hurd Street,Mission,V2V 3H5,49.135186,-122.331733,Mission Memorial Hospital,602,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644460
LD-1700,Emergency Room Care,17654593,Providence Health Care Society,17654692,Emergency Health Services,"Provides emergency health care services for Vancouver's downtown city centre and East Vancouver residents at two acute care hospitals. Services are prioritized based on the severity of a patient's condition upon arrival. St. Paul's Emergency Department specializes in complex and multiple diagnosis, surgery, internal medicine and speciality medicine. Mount Saint Joseph's Emergency Department offers full primary and secondary health services as well as providing specific multicultural services. Children are seen at this site, although there is no children's inpatient unit.",17654694,17654602,https://www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital/emergency-services,Y,Translation services available,Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00;,3080 Prince Edward Street,Vancouver,V5T 3N4,49.257699,-123.096358,Mount Saint Joseph Hospital  ,106,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17654692&SiteResourceAgencyNum=17654602
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651538,17650860,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",1200 Dufferin Crescent,Nanaimo,V9S 2B7,49.183502,-123.969945,Nanaimo Regional General Hospital,501,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650860
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647100,17646747,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",3451 Voght Street,Merritt,V1K 1C6,50.121468,-120.771016,Nicola Valley Hospital and Health Centre,403,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646747
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651535,17650856,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",375 2nd Avenue,Campbell River,V9W 3V1,50.011132,-125.243155,North Island Hospital Campbell River and District,508,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650856
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,55363068,55347959,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",101 Lerwick Road,Courtenay,V9N 0B9,49.712428,-124.969565,North Island Hospital Comox Valley,503,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=55347959
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653147,17652267,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week staffed by registered nurses; physician on-call after-hours",2520 Harrison Avenue,Masset,V0T 1M0,54.012317,-132.151708,Northern Haida Gwaii Hospital and Health Centre,918,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652267
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645056,17644418,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",15521 Russell Avenue,White Rock,V4B 2R4,49.029793,-122.793632,Peace Arch Hospital,131,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644418
LD-1700,Emergency Room Care,17648936,Vancouver Coastal Health,17649851,Emergency Health Services,"Provides 24-hour emergency health care and trauma services in most hospital sites; operating hours may vary in rural areas. Services are prioritized based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need. Visit the ED Wait Times website to see current wait times of Vancouver, North Shore and Richmond emergency rooms.",55363051,17649176,http://www.vch.ca/your-care/emergency-care,Y,,Mon 08:30 - 20:30; Tue 08:30 - 20:30; Wed 08:30 - 20:30; Thu 08:30 - 20:30; Fri 08:30 - 20:30; Sat 08:30 - 20:30; Sun 08:30 - 20:30;,1403 Portage Road,Pemberton,V0N 2L0,50.32076,-122.804482,Pemberton Health Centre,422,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649851&SiteResourceAgencyNum=17649176
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647107,17646582,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",550 Carmi Avenue,Penticton,V2A 3G6,49.482657,-119.578687,Penticton Regional Hospital,303,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646582
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651542,17651079,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week; call ahead to confirm.",1090 Marine Drive,Port Alice,V0N 2N0,50.4255,-127.487219,Port Alice Health Centre,859,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17651079
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651532,17651090,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",9120 Granville Street,Port Hardy,V0N 2P0,50.720244,-127.503215,Port Hardy Hospital,510,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17651090
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651531,17650890,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",2750 Kingcome Place,Port McNeill,V0N 2R0,50.58026,-127.067379,Port McNeill Hospital,511,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650890
LD-1700,Emergency Room Care,17648936,Vancouver Coastal Health,17649851,Emergency Health Services,"Provides 24-hour emergency health care and trauma services in most hospital sites; operating hours may vary in rural areas. Services are prioritized based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need. Visit the ED Wait Times website to see current wait times of Vancouver, North Shore and Richmond emergency rooms.",55362734,17648993,http://www.vch.ca/your-care/emergency-care,Y,,"Open 24 hours, 7 days a week",5000 Joyce Avenue,Powell River,V8A 5R3,49.851072,-124.520727,Powell River General Hospital,111,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649851&SiteResourceAgencyNum=17648993
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653160,17652308,https://www.northernhealth.ca/locations/hospitals,N,,"24 hours a day, 7 days a week",1305 Summit Avenue,Prince Rupert,V8J 2A6,54.304265,-130.332179,Prince Rupert Regional Hospital,902,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652308
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647097,17647096,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",98 Ridgewood Drive,Princeton,V0X 1W0,49.453436,-120.526235,Princeton General Hospital,305,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647096
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647117,17646569,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",1200 Newlands Road,Revelstoke,V0E 2S0,50.976799,-118.191902,Queen Victoria Hospital and Health Centre,402,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646569
LD-1700,Emergency Room Care,17648936,Vancouver Coastal Health,17649851,Emergency Health Services,"Provides 24-hour emergency health care and trauma services in most hospital sites; operating hours may vary in rural areas. Services are prioritized based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need. Visit the ED Wait Times website to see current wait times of Vancouver, North Shore and Richmond emergency rooms.",55362730,17648966,http://www.vch.ca/your-care/emergency-care,Y,,"Open 24 hours, 7 days a week",88 Waglisla Street,Bella Bella,V0T 1Z0,52.160187,-128.143874,R.W. Large Memorial Hospital,904,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649851&SiteResourceAgencyNum=17648966
